"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09042019-W","PHOSPHORUS, TOTAL (AS P)",2019-09-04 10:30:00,"7723-14-0","T",0.056,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09042019-W","TURBIDITY",2019-09-04 10:30:00,"TURB","T",8.17,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","Bromodichloromethane",2019-09-16 10:15:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","Bromoform",2019-09-16 10:15:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","Chloroform",2019-09-16 10:15:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","Chlorophyll A",2019-09-16 10:15:00,"479-61-8","T",1.64,"ug/l",NA,"ug/l",0.045,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","Dibromochloromethane",2019-09-16 10:15:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","Nitrate+Nitrite as Nitrogen",2019-09-16 10:15:00,"NO3NO2N","T",0.554,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","Nitrogen",2019-09-16 10:15:00,"7727-37-9","T",0.55,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","Nitrogen, ammonia (As N)",2019-09-16 10:15:00,"7664-41-7","T",0.062,"mg/l",0.003,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","NITROGEN, KJELDAHL, TOTAL",2019-09-16 10:15:00,"KN","T",0.26,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","NITROGEN, NITRATE (AS N)",2019-09-16 10:15:00,"14797-55-8","T",0.541,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","NITROGEN, NITRITE",2019-09-16 10:15:00,"14797-65-0","T",0.013,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","Orthophosphate as Phosphorus, Dissolved",2019-09-16 10:15:00,"PDORTHO","D",0.0416,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","PHOSPHORUS, TOTAL (AS P)",2019-09-16 10:15:00,"7723-14-0","T",0.0556,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-09162019-W","TURBIDITY",2019-09-16 10:15:00,"TURB","T",4.53,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","Bromodichloromethane",2019-10-09 00:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","Bromoform",2019-10-09 00:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","Chloroform",2019-10-09 00:00:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","Chlorophyll A",2019-10-09 00:00:00,"479-61-8","T",0.7,"ug/l",NA,"ug/l",0.15,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","Dibromochloromethane",2019-10-09 00:00:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","Nitrate+Nitrite as Nitrogen",2019-10-09 00:00:00,"NO3NO2N","T",0.527,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","Nitrogen",2019-10-09 00:00:00,"7727-37-9","T",0.53,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","Nitrogen, ammonia (As N)",2019-10-09 00:00:00,"7664-41-7","T",0.039,"mg/l",0.003,"mg/l",0.01,"","R","Precision error"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","NITROGEN, KJELDAHL, TOTAL",2019-10-09 00:00:00,"KN","T",0.35,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","NITROGEN, NITRATE (AS N)",2019-10-09 00:00:00,"14797-55-8","T",0.527,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","NITROGEN, NITRITE",2019-10-09 00:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","Orthophosphate as Phosphorus, Dissolved",2019-10-09 00:00:00,"PDORTHO","D",0.0381,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","PHOSPHORUS, TOTAL (AS P)",2019-10-09 00:00:00,"7723-14-0","T",0.0714,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10092019-W","TURBIDITY",2019-10-09 00:00:00,"TURB","T",31.9,"ntu",0.06,"ntu",0.1,"","R","Holding Time error"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","Bromodichloromethane",2019-10-16 10:12:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","Bromoform",2019-10-16 10:12:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","Chloroform",2019-10-16 10:12:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","Chlorophyll A",2019-10-16 10:12:00,"479-61-8","T",0.291,"ug/l",NA,"ug/l",0.04,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","Dibromochloromethane",2019-10-16 10:12:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","Nitrate+Nitrite as Nitrogen",2019-10-16 10:12:00,"NO3NO2N","T",0.52,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","Nitrogen",2019-10-16 10:12:00,"7727-37-9","T",0.52,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","Nitrogen, ammonia (As N)",2019-10-16 10:12:00,"7664-41-7","T",0.081,"mg/l",0.003,"mg/l",0.01,"","R","Precision error"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","NITROGEN, KJELDAHL, TOTAL",2019-10-16 10:12:00,"KN","T",0.28,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","NITROGEN, NITRATE (AS N)",2019-10-16 10:12:00,"14797-55-8","T",0.507,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","NITROGEN, NITRITE",2019-10-16 10:12:00,"14797-65-0","T",0.013,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","Orthophosphate as Phosphorus, Dissolved",2019-10-16 10:12:00,"PDORTHO","D",0.0367,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","PHOSPHORUS, TOTAL (AS P)",2019-10-16 10:12:00,"7723-14-0","T",0.0485,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10162019-W","TURBIDITY",2019-10-16 10:12:00,"TURB","T",6.44,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","Bromodichloromethane",2019-10-29 11:15:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","Bromoform",2019-10-29 11:15:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","Chloroform",2019-10-29 11:15:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","Chlorophyll A",2019-10-29 11:15:00,"479-61-8","T",0.7,"ug/l",NA,"ug/l",0.16,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","Dibromochloromethane",2019-10-29 11:15:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","Nitrate+Nitrite as Nitrogen",2019-10-29 11:15:00,"NO3NO2N","T",0.384,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","Nitrogen",2019-10-29 11:15:00,"7727-37-9","T",0.38,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","Nitrogen, ammonia (As N)",2019-10-29 11:15:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","NITROGEN, KJELDAHL, TOTAL",2019-10-29 11:15:00,"KN","T",0.45,"mg/l",0.1,"mg/l",0.1,"","R","Equipment Blank error ; Precision error ; Result should be less than the total"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","NITROGEN, NITRATE (AS N)",2019-10-29 11:15:00,"14797-55-8","T",0.384,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","NITROGEN, NITRITE",2019-10-29 11:15:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","Orthophosphate as Phosphorus, Dissolved",2019-10-29 11:15:00,"PDORTHO","D",0.0231,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","PHOSPHORUS, TOTAL (AS P)",2019-10-29 11:15:00,"7723-14-0","T",0.0729,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-17.3","12-MOHK-17.3-10292019-W","TURBIDITY",2019-10-29 11:15:00,"TURB","T",45.9,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","Bromodichloromethane",2019-06-20 12:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","Bromoform",2019-06-20 12:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","Chloroform",2019-06-20 12:00:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","Chlorophyll A",2019-06-20 12:00:00,"479-61-8","T",1.1,"ug/l",NA,"ug/l",0.08,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","Dibromochloromethane",2019-06-20 12:00:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","Nitrate+Nitrite as Nitrogen",2019-06-20 12:00:00,"NO3NO2N","T",0.457,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","Nitrogen",2019-06-20 12:00:00,"KN","T",0.46,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","Nitrogen, ammonia (As N)",2019-06-20 12:00:00,"7664-41-7","T",0.0191,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","NITROGEN, KJELDAHL, TOTAL",2019-06-20 12:00:00,"KN","T",0.38,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","NITROGEN, NITRATE (AS N)",2019-06-20 12:00:00,"14797-55-8","T",0.457,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","NITROGEN, NITRITE",2019-06-20 12:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","Orthophosphate as Phosphorus, Dissolved",2019-06-20 12:00:00,"PDORTHO","D",0.0163,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","PHOSPHORUS, TOTAL (AS P)",2019-06-20 12:00:00,"7723-14-0","T",0.0278,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06202019-W","TURBIDITY",2019-06-20 12:00:00,"TURB","T",5.9,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","Bromodichloromethane",2019-06-25 09:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","Bromoform",2019-06-25 09:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","Chloroform",2019-06-25 09:00:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","Chlorophyll A",2019-06-25 09:00:00,"479-61-8","T",0.305,"ug/l",NA,"ug/l",0.052,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","Dibromochloromethane",2019-06-25 09:00:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","Nitrate+Nitrite as Nitrogen",2019-06-25 09:00:00,"NO3NO2N","T",0.457,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","Nitrogen",2019-06-25 09:00:00,"KN","T",0.46,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","Nitrogen, ammonia (As N)",2019-06-25 09:00:00,"7664-41-7","T",0.0286,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","NITROGEN, KJELDAHL, TOTAL",2019-06-25 09:00:00,"KN","T",0.38,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","NITROGEN, NITRATE (AS N)",2019-06-25 09:00:00,"14797-55-8","T",0.457,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","NITROGEN, NITRITE",2019-06-25 09:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","Orthophosphate as Phosphorus, Dissolved",2019-06-25 09:00:00,"PDORTHO","D",0.0201,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","PHOSPHORUS, TOTAL (AS P)",2019-06-25 09:00:00,"7723-14-0","T",0.0368,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-06252019-W","TURBIDITY",2019-06-25 09:00:00,"TURB","T",12.1,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","Bromodichloromethane",2019-07-11 09:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","Bromoform",2019-07-11 09:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","Chloroform",2019-07-11 09:00:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","Chlorophyll A",2019-07-11 09:00:00,"479-61-8","T",5.72,"ug/l",NA,"ug/l",0.41,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","Dibromochloromethane",2019-07-11 09:00:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","Nitrate+Nitrite as Nitrogen",2019-07-11 09:00:00,"NO3NO2N","T",0.424,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","Nitrogen",2019-07-11 09:00:00,"KN","T",0.42,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","Nitrogen, ammonia (As N)",2019-07-11 09:00:00,"7664-41-7","T",0.0161,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","NITROGEN, KJELDAHL, TOTAL",2019-07-11 09:00:00,"KN","T",0.35,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","NITROGEN, NITRATE (AS N)",2019-07-11 09:00:00,"14797-55-8","T",0.424,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","NITROGEN, NITRITE",2019-07-11 09:00:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","Orthophosphate as Phosphorus, Dissolved",2019-07-11 09:00:00,"PDORTHO","D",NA,"mg/l",0.0049,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","PHOSPHORUS, TOTAL (AS P)",2019-07-11 09:00:00,"7723-14-0","T",0.0176,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07112019-W","TURBIDITY",2019-07-11 09:00:00,"TURB","T",6.27,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","Bromodichloromethane",2019-07-22 08:45:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","Bromoform",2019-07-22 08:45:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","Chloroform",2019-07-22 08:45:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","Chlorophyll A",2019-07-22 08:45:00,"479-61-8","T",1.25,"ug/l",NA,"ug/l",0.049,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","Dibromochloromethane",2019-07-22 08:45:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","Nitrate+Nitrite as Nitrogen",2019-07-22 08:45:00,"NO3NO2N","T",0.613,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","Nitrogen",2019-07-22 08:45:00,"KN","T",0.61,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","Nitrogen, ammonia (As N)",2019-07-22 08:45:00,"7664-41-7","T",0.03,"mg/l",0.003,"mg/l",0.01,"","R","Accuracy error"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","NITROGEN, KJELDAHL, TOTAL",2019-07-22 08:45:00,"KN","T",0.33,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","NITROGEN, NITRATE (AS N)",2019-07-22 08:45:00,"14797-55-8","T",0.601,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","NITROGEN, NITRITE",2019-07-22 08:45:00,"14797-65-0","T",0.012,"mg/l",0.007,"mg/l",0.01,"","R","Holding Time error"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","Orthophosphate as Phosphorus, Dissolved",2019-07-22 08:45:00,"PDORTHO","D",0.0309,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","PHOSPHORUS, TOTAL (AS P)",2019-07-22 08:45:00,"7723-14-0","T",0.0413,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-07222019-W","TURBIDITY",2019-07-22 08:45:00,"TURB","T",4.81,"ntu",0.06,"ntu",0.1,"","R","Holding Time error"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","Bromodichloromethane",2019-08-05 09:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","Bromoform",2019-08-05 09:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","Chloroform",2019-08-05 09:00:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","Chlorophyll A",2019-08-05 09:00:00,"479-61-8","T",3.54,"ug/l",NA,"ug/l",0.16,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","Dibromochloromethane",2019-08-05 09:00:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","Nitrate+Nitrite as Nitrogen",2019-08-05 09:00:00,"NO3NO2N","T",0.347,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","Nitrogen",2019-08-05 09:00:00,"KN","T",0.35,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","Nitrogen, ammonia (As N)",2019-08-05 09:00:00,"7664-41-7","T",0.057,"mg/l",0.003,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","NITROGEN, KJELDAHL, TOTAL",2019-08-05 09:00:00,"KN","T",0.38,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","NITROGEN, NITRATE (AS N)",2019-08-05 09:00:00,"14797-55-8","T",0.337,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","NITROGEN, NITRITE",2019-08-05 09:00:00,"14797-65-0","T",0.01,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","Orthophosphate as Phosphorus, Dissolved",2019-08-05 09:00:00,"PDORTHO","D",0.0093,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","PHOSPHORUS, TOTAL (AS P)",2019-08-05 09:00:00,"7723-14-0","T",0.0253,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08052019-W","TURBIDITY",2019-08-05 09:00:00,"TURB","T",4.17,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","12-MOHK-24.0","12-MOHK-24-08192019-W","Bromodichloromethane",2019-08-19 09:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
